,cell_paths,dot_paths,density_paths,counts
91,./Cells/149cell.png,./Dots/149dots.png,./Density/149density.png,142
92,./Cells/031cell.png,./Dots/031dots.png,./Density/031density.png,190
93,./Cells/007cell.png,./Dots/007dots.png,./Density/007density.png,169
94,./Cells/017cell.png,./Dots/017dots.png,./Density/017density.png,223
95,./Cells/065cell.png,./Dots/065dots.png,./Density/065density.png,242
96,./Cells/075cell.png,./Dots/075dots.png,./Density/075density.png,244
97,./Cells/081cell.png,./Dots/081dots.png,./Density/081density.png,104
98,./Cells/091cell.png,./Dots/091dots.png,./Density/091density.png,96
99,./Cells/140cell.png,./Dots/140dots.png,./Density/140density.png,129
100,./Cells/038cell.png,./Dots/038dots.png,./Density/038density.png,198
101,./Cells/150cell.png,./Dots/150dots.png,./Density/150density.png,308
102,./Cells/028cell.png,./Dots/028dots.png,./Density/028density.png,111
103,./Cells/122cell.png,./Dots/122dots.png,./Density/122density.png,108
104,./Cells/132cell.png,./Dots/132dots.png,./Density/132density.png,174
105,./Cells/094cell.png,./Dots/094dots.png,./Density/094density.png,121
106,./Cells/084cell.png,./Dots/084dots.png,./Density/084density.png,100
107,./Cells/155cell.png,./Dots/155dots.png,./Density/155density.png,74
108,./Cells/145cell.png,./Dots/145dots.png,./Density/145density.png,217
109,./Cells/137cell.png,./Dots/137dots.png,./Density/137density.png,208
110,./Cells/127cell.png,./Dots/127dots.png,./Density/127density.png,90
111,./Cells/012cell.png,./Dots/012dots.png,./Density/012density.png,301
112,./Cells/002cell.png,./Dots/002dots.png,./Density/002density.png,233
113,./Cells/108cell.png,./Dots/108dots.png,./Density/108density.png,306
114,./Cells/070cell.png,./Dots/070dots.png,./Density/070density.png,219
115,./Cells/118cell.png,./Dots/118dots.png,./Density/118density.png,252
116,./Cells/060cell.png,./Dots/060dots.png,./Density/060density.png,241
117,./Cells/056cell.png,./Dots/056dots.png,./Density/056density.png,83
118,./Cells/046cell.png,./Dots/046dots.png,./Density/046density.png,129
119,./Cells/197cell.png,./Dots/197dots.png,./Density/197density.png,218
120,./Cells/187cell.png,./Dots/187dots.png,./Density/187density.png,95
121,./Cells/034cell.png,./Dots/034dots.png,./Density/034density.png,137
122,./Cells/024cell.png,./Dots/024dots.png,./Density/024density.png,241
123,./Cells/111cell.png,./Dots/111dots.png,./Density/111density.png,194
124,./Cells/069cell.png,./Dots/069dots.png,./Density/069density.png,155
125,./Cells/101cell.png,./Dots/101dots.png,./Density/101density.png,104
126,./Cells/079cell.png,./Dots/079dots.png,./Density/079density.png,179
127,./Cells/173cell.png,./Dots/173dots.png,./Density/173density.png,222
128,./Cells/163cell.png,./Dots/163dots.png,./Density/163density.png,176
129,./Cells/186cell.png,./Dots/186dots.png,./Density/186density.png,224
130,./Cells/196cell.png,./Dots/196dots.png,./Density/196density.png,84
131,./Cells/047cell.png,./Dots/047dots.png,./Density/047density.png,117
132,./Cells/057cell.png,./Dots/057dots.png,./Density/057density.png,206
133,./Cells/025cell.png,./Dots/025dots.png,./Density/025density.png,315
134,./Cells/035cell.png,./Dots/035dots.png,./Density/035density.png,142
135,./Cells/078cell.png,./Dots/078dots.png,./Density/078density.png,251
136,./Cells/100cell.png,./Dots/100dots.png,./Density/100density.png,207
137,./Cells/068cell.png,./Dots/068dots.png,./Density/068density.png,111
138,./Cells/110cell.png,./Dots/110dots.png,./Density/110density.png,139
139,./Cells/162cell.png,./Dots/162dots.png,./Density/162density.png,297
140,./Cells/172cell.png,./Dots/172dots.png,./Density/172density.png,136
141,./Cells/144cell.png,./Dots/144dots.png,./Density/144density.png,260
142,./Cells/154cell.png,./Dots/154dots.png,./Density/154density.png,210
143,./Cells/085cell.png,./Dots/085dots.png,./Density/085density.png,269
144,./Cells/095cell.png,./Dots/095dots.png,./Density/095density.png,295
145,./Cells/126cell.png,./Dots/126dots.png,./Density/126density.png,144
146,./Cells/136cell.png,./Dots/136dots.png,./Density/136density.png,188
147,./Cells/003cell.png,./Dots/003dots.png,./Density/003density.png,82
148,./Cells/013cell.png,./Dots/013dots.png,./Density/013density.png,78
149,./Cells/061cell.png,./Dots/061dots.png,./Density/061density.png,93
150,./Cells/119cell.png,./Dots/119dots.png,./Density/119density.png,211
151,./Cells/071cell.png,./Dots/071dots.png,./Density/071density.png,191
152,./Cells/109cell.png,./Dots/109dots.png,./Density/109density.png,134
153,./Cells/037cell.png,./Dots/037dots.png,./Density/037density.png,212
154,./Cells/027cell.png,./Dots/027dots.png,./Density/027density.png,196
155,./Cells/194cell.png,./Dots/194dots.png,./Density/194density.png,156
156,./Cells/184cell.png,./Dots/184dots.png,./Density/184density.png,218
157,./Cells/055cell.png,./Dots/055dots.png,./Density/055density.png,181
158,./Cells/045cell.png,./Dots/045dots.png,./Density/045density.png,225
159,./Cells/008cell.png,./Dots/008dots.png,./Density/008density.png,122
160,./Cells/170cell.png,./Dots/170dots.png,./Density/170density.png,159
161,./Cells/018cell.png,./Dots/018dots.png,./Density/018density.png,195
162,./Cells/160cell.png,./Dots/160dots.png,./Density/160density.png,174
163,./Cells/112cell.png,./Dots/112dots.png,./Density/112density.png,221
164,./Cells/102cell.png,./Dots/102dots.png,./Density/102density.png,257
165,./Cells/134cell.png,./Dots/134dots.png,./Density/134density.png,198
166,./Cells/124cell.png,./Dots/124dots.png,./Density/124density.png,277
167,./Cells/156cell.png,./Dots/156dots.png,./Density/156density.png,317
168,./Cells/146cell.png,./Dots/146dots.png,./Density/146density.png,98
169,./Cells/097cell.png,./Dots/097dots.png,./Density/097density.png,199
170,./Cells/087cell.png,./Dots/087dots.png,./Density/087density.png,175
171,./Cells/073cell.png,./Dots/073dots.png,./Density/073density.png,173
172,./Cells/063cell.png,./Dots/063dots.png,./Density/063density.png,202
173,./Cells/011cell.png,./Dots/011dots.png,./Density/011density.png,117
174,./Cells/169cell.png,./Dots/169dots.png,./Density/169density.png,162
175,./Cells/001cell.png,./Dots/001dots.png,./Density/001density.png,135
176,./Cells/179cell.png,./Dots/179dots.png,./Density/179density.png,206
177,./Cells/125cell.png,./Dots/125dots.png,./Density/125density.png,120
178,./Cells/135cell.png,./Dots/135dots.png,./Density/135density.png,244
179,./Cells/086cell.png,./Dots/086dots.png,./Density/086density.png,192
180,./Cells/096cell.png,./Dots/096dots.png,./Density/096density.png,78
181,./Cells/147cell.png,./Dots/147dots.png,./Density/147density.png,100
182,./Cells/157cell.png,./Dots/157dots.png,./Density/157density.png,98
183,./Cells/062cell.png,./Dots/062dots.png,./Density/062density.png,154
184,./Cells/072cell.png,./Dots/072dots.png,./Density/072density.png,230
185,./Cells/178cell.png,./Dots/178dots.png,./Density/178density.png,155
186,./Cells/168cell.png,./Dots/168dots.png,./Density/168density.png,96
187,./Cells/010cell.png,./Dots/010dots.png,./Density/010density.png,115
188,./Cells/026cell.png,./Dots/026dots.png,./Density/026density.png,112
189,./Cells/036cell.png,./Dots/036dots.png,./Density/036density.png,238
190,./Cells/044cell.png,./Dots/044dots.png,./Density/044density.png,208
191,./Cells/054cell.png,./Dots/054dots.png,./Density/054density.png,198
192,./Cells/185cell.png,./Dots/185dots.png,./Density/185density.png,248
193,./Cells/195cell.png,./Dots/195dots.png,./Density/195density.png,200
194,./Cells/161cell.png,./Dots/161dots.png,./Density/161density.png,215
195,./Cells/019cell.png,./Dots/019dots.png,./Density/019density.png,197
196,./Cells/171cell.png,./Dots/171dots.png,./Density/171density.png,132
197,./Cells/009cell.png,./Dots/009dots.png,./Density/009density.png,168
198,./Cells/103cell.png,./Dots/103dots.png,./Density/103density.png,254
199,./Cells/113cell.png,./Dots/113dots.png,./Density/113density.png,126
