,cell_paths,dot_paths,density_paths,counts
48,Cells/040cell.png,Dots/040dots.png,Density/040density.jpg,178
49,Cells/138cell.png,Dots/138dots.png,Density/138density.jpg,74
50,Cells/050cell.png,Dots/050dots.png,Density/050density.jpg,206
51,Cells/128cell.png,Dots/128dots.png,Density/128density.jpg,162
52,Cells/016cell.png,Dots/016dots.png,Density/016density.jpg,199
53,Cells/006cell.png,Dots/006dots.png,Density/006density.jpg,143
54,Cells/074cell.png,Dots/074dots.png,Density/074density.jpg,314
55,Cells/064cell.png,Dots/064dots.png,Density/064density.jpg,212
56,Cells/029cell.png,Dots/029dots.png,Density/029density.jpg,255
57,Cells/151cell.png,Dots/151dots.png,Density/151density.jpg,119
58,Cells/039cell.png,Dots/039dots.png,Density/039density.jpg,228
59,Cells/141cell.png,Dots/141dots.png,Density/141density.jpg,267
60,Cells/090cell.png,Dots/090dots.png,Density/090density.jpg,145
61,Cells/080cell.png,Dots/080dots.png,Density/080density.jpg,258
62,Cells/133cell.png,Dots/133dots.png,Density/133density.jpg,92
63,Cells/123cell.png,Dots/123dots.png,Density/123density.jpg,200
64,Cells/115cell.png,Dots/115dots.png,Density/115density.jpg,242
65,Cells/105cell.png,Dots/105dots.png,Density/105density.jpg,147
66,Cells/177cell.png,Dots/177dots.png,Density/177density.jpg,146
67,Cells/167cell.png,Dots/167dots.png,Density/167density.jpg,110
68,Cells/193cell.png,Dots/193dots.png,Density/193density.jpg,200
69,Cells/183cell.png,Dots/183dots.png,Density/183density.jpg,244
70,Cells/052cell.png,Dots/052dots.png,Density/052density.jpg,162
71,Cells/042cell.png,Dots/042dots.png,Density/042density.jpg,280
72,Cells/030cell.png,Dots/030dots.png,Density/030density.jpg,97
73,Cells/148cell.png,Dots/148dots.png,Density/148density.jpg,140
74,Cells/020cell.png,Dots/020dots.png,Density/020density.jpg,183
75,Cells/158cell.png,Dots/158dots.png,Density/158density.jpg,119
76,Cells/089cell.png,Dots/089dots.png,Density/089density.jpg,168
77,Cells/099cell.png,Dots/099dots.png,Density/099density.jpg,112
78,Cells/104cell.png,Dots/104dots.png,Density/104density.jpg,102
79,Cells/114cell.png,Dots/114dots.png,Density/114density.jpg,130
80,Cells/166cell.png,Dots/166dots.png,Density/166density.jpg,145
81,Cells/176cell.png,Dots/176dots.png,Density/176density.jpg,100
82,Cells/200cell.png,Dots/200dots.png,Density/200density.jpg,124
83,Cells/043cell.png,Dots/043dots.png,Density/043density.jpg,126
84,Cells/053cell.png,Dots/053dots.png,Density/053density.jpg,122
85,Cells/182cell.png,Dots/182dots.png,Density/182density.jpg,292
86,Cells/192cell.png,Dots/192dots.png,Density/192density.jpg,128
87,Cells/098cell.png,Dots/098dots.png,Density/098density.jpg,207
88,Cells/088cell.png,Dots/088dots.png,Density/088density.jpg,164
89,Cells/159cell.png,Dots/159dots.png,Density/159density.jpg,133
90,Cells/021cell.png,Dots/021dots.png,Density/021density.jpg,158
91,Cells/149cell.png,Dots/149dots.png,Density/149density.jpg,142
92,Cells/031cell.png,Dots/031dots.png,Density/031density.jpg,190
93,Cells/007cell.png,Dots/007dots.png,Density/007density.jpg,169
94,Cells/017cell.png,Dots/017dots.png,Density/017density.jpg,223
95,Cells/065cell.png,Dots/065dots.png,Density/065density.jpg,242
96,Cells/075cell.png,Dots/075dots.png,Density/075density.jpg,244
97,Cells/081cell.png,Dots/081dots.png,Density/081density.jpg,104
98,Cells/091cell.png,Dots/091dots.png,Density/091density.jpg,96
99,Cells/140cell.png,Dots/140dots.png,Density/140density.jpg,129
100,Cells/038cell.png,Dots/038dots.png,Density/038density.jpg,198
101,Cells/150cell.png,Dots/150dots.png,Density/150density.jpg,308
102,Cells/028cell.png,Dots/028dots.png,Density/028density.jpg,111
103,Cells/122cell.png,Dots/122dots.png,Density/122density.jpg,108
104,Cells/132cell.png,Dots/132dots.png,Density/132density.jpg,174
105,Cells/094cell.png,Dots/094dots.png,Density/094density.jpg,121
106,Cells/084cell.png,Dots/084dots.png,Density/084density.jpg,100
107,Cells/155cell.png,Dots/155dots.png,Density/155density.jpg,74
108,Cells/145cell.png,Dots/145dots.png,Density/145density.jpg,217
109,Cells/137cell.png,Dots/137dots.png,Density/137density.jpg,208
110,Cells/127cell.png,Dots/127dots.png,Density/127density.jpg,90
111,Cells/012cell.png,Dots/012dots.png,Density/012density.jpg,301
112,Cells/002cell.png,Dots/002dots.png,Density/002density.jpg,233
113,Cells/108cell.png,Dots/108dots.png,Density/108density.jpg,306
114,Cells/070cell.png,Dots/070dots.png,Density/070density.jpg,219
115,Cells/118cell.png,Dots/118dots.png,Density/118density.jpg,252
116,Cells/060cell.png,Dots/060dots.png,Density/060density.jpg,241
117,Cells/056cell.png,Dots/056dots.png,Density/056density.jpg,83
118,Cells/046cell.png,Dots/046dots.png,Density/046density.jpg,129
119,Cells/197cell.png,Dots/197dots.png,Density/197density.jpg,218
120,Cells/187cell.png,Dots/187dots.png,Density/187density.jpg,95
121,Cells/034cell.png,Dots/034dots.png,Density/034density.jpg,137
122,Cells/024cell.png,Dots/024dots.png,Density/024density.jpg,241
123,Cells/111cell.png,Dots/111dots.png,Density/111density.jpg,194
124,Cells/069cell.png,Dots/069dots.png,Density/069density.jpg,155
125,Cells/101cell.png,Dots/101dots.png,Density/101density.jpg,104
126,Cells/079cell.png,Dots/079dots.png,Density/079density.jpg,179
127,Cells/173cell.png,Dots/173dots.png,Density/173density.jpg,222
128,Cells/163cell.png,Dots/163dots.png,Density/163density.jpg,176
129,Cells/186cell.png,Dots/186dots.png,Density/186density.jpg,224
130,Cells/196cell.png,Dots/196dots.png,Density/196density.jpg,84
131,Cells/047cell.png,Dots/047dots.png,Density/047density.jpg,117
132,Cells/057cell.png,Dots/057dots.png,Density/057density.jpg,206
133,Cells/025cell.png,Dots/025dots.png,Density/025density.jpg,315
134,Cells/035cell.png,Dots/035dots.png,Density/035density.jpg,142
135,Cells/078cell.png,Dots/078dots.png,Density/078density.jpg,251
136,Cells/100cell.png,Dots/100dots.png,Density/100density.jpg,207
137,Cells/068cell.png,Dots/068dots.png,Density/068density.jpg,111
138,Cells/110cell.png,Dots/110dots.png,Density/110density.jpg,139
139,Cells/162cell.png,Dots/162dots.png,Density/162density.jpg,297
